zip,addresses,hospitality_companies,population,police_locations,parks,sport_facilities,child_facilities,elderly_facilities,toilets,handicapp,transport_rental,community_facilities,fountains,street_art,social_centers,street_lights,churches
8050,4134,153.0,34412,2.0,17.0,7.0,59.0,3.0,6.0,41.0,24.0,3.0,65.0,15.0,1.0,2677,2.0
8049,3498,34.0,27853,1.0,14.0,2.0,35.0,3.0,4.0,15.0,10.0,1.0,62.0,6.0,0.0,2187,2.0
8048,3492,95.0,33499,1.0,7.0,11.0,46.0,4.0,3.0,35.0,16.0,2.0,65.0,10.0,0.0,2225,4.0
8032,3403,50.0,23866,1.0,7.0,1.0,32.0,3.0,5.0,16.0,17.0,1.0,64.0,20.0,0.0,1692,2.0
8046,3016,31.0,29139,1.0,10.0,5.0,36.0,4.0,2.0,12.0,7.0,2.0,49.0,4.0,0.0,1669,3.0
8008,2929,110.0,23162,2.0,14.0,2.0,38.0,4.0,9.0,34.0,18.0,1.0,64.0,34.0,0.0,1841,3.0
8006,2894,69.0,22387,2.0,11.0,1.0,37.0,3.0,4.0,35.0,24.0,3.0,70.0,22.0,0.0,1673,5.0
8057,2786,35.0,24258,0.0,6.0,1.0,25.0,5.0,4.0,13.0,15.0,1.0,51.0,19.0,0.0,1787,6.0
8051,2714,37.0,25792,1.0,9.0,7.0,39.0,4.0,3.0,16.0,8.0,2.0,55.0,4.0,0.0,1520,4.0
8004,2663,359.0,34271,6.0,6.0,2.0,39.0,4.0,11.0,36.0,27.0,3.0,58.0,19.0,0.0,1932,5.0
8038,2578,38.0,18560,0.0,5.0,1.0,25.0,4.0,5.0,12.0,9.0,3.0,60.0,20.0,0.0,1496,3.0
8052,2497,39.0,23221,0.0,9.0,7.0,29.0,3.0,1.0,5.0,6.0,1.0,32.0,3.0,0.0,1326,3.0
8001,2423,415.0,11561,5.0,14.0,1.0,13.0,3.0,16.0,34.0,21.0,0.0,148.0,66.0,1.0,2967,11.0
8047,2320,31.0,24096,0.0,4.0,3.0,35.0,5.0,3.0,9.0,8.0,1.0,29.0,6.0,1.0,1053,3.0
8055,2187,32.0,22738,0.0,7.0,4.0,36.0,5.0,3.0,15.0,8.0,1.0,50.0,3.0,0.0,1187,4.0
8053,2077,10.0,12422,0.0,13.0,1.0,15.0,1.0,2.0,5.0,3.0,1.0,39.0,10.0,0.0,931,3.0
8044,2052,23.0,12934,0.0,14.0,3.0,11.0,1.0,1.0,36.0,4.0,0.0,46.0,9.0,0.0,1256,3.0
8037,1904,41.0,18518,0.0,15.0,2.0,28.0,4.0,2.0,12.0,17.0,2.0,43.0,7.0,1.0,1360,4.0
8045,1767,63.0,13230,1.0,9.0,4.0,19.0,3.0,3.0,11.0,11.0,0.0,27.0,4.0,0.0,995,1.0
8005,1685,209.0,20273,2.0,4.0,1.0,28.0,3.0,6.0,44.0,30.0,1.0,36.0,14.0,1.0,1975,2.0
8003,1657,124.0,23800,1.0,5.0,2.0,21.0,1.0,6.0,22.0,18.0,0.0,54.0,26.0,0.0,1026,4.0
8002,1638,79.0,13212,2.0,9.0,2.0,21.0,0.0,4.0,20.0,12.0,0.0,54.0,54.0,0.0,1491,2.0
8041,1158,8.0,7660,0.0,13.0,4.0,15.0,2.0,0.0,6.0,3.0,1.0,35.0,3.0,0.0,643,2.0
8064,433,10.0,4248,0.0,1.0,3.0,5.0,3.0,1.0,2.0,3.0,1.0,15.0,8.0,0.0,641,1.0
