zip,addresses,hospitality_companies,population,beachvolleyball,bikeparks,care_centers,community_centers,elementary_schools,football_fields,ice_rinks,indoor_pools,kindergartens,Mobility_rental,nurseries,outdoor_pools,police_locations,publibike,skate_parks,tennis_courts
8050,4134,153,34412,0,0,1,1,8,2,1,1,19,18,30,0,2,6,0,0
8049,3498,34,27853,1,0,1,1,7,0,0,1,15,10,13,0,1,0,0,0
8048,3492,95,33499,3,0,1,1,9,3,0,1,20,11,16,1,1,5,1,1
8032,3403,50,23866,0,0,0,1,5,0,0,1,7,13,19,0,1,4,0,0
8046,3016,31,29139,0,0,1,1,7,1,0,0,17,7,10,0,1,0,1,1
8008,2929,110,23162,0,0,1,1,7,0,0,0,8,12,23,0,2,6,0,1
8006,2894,69,22387,1,0,0,1,5,0,0,0,8,20,24,0,2,4,0,0
8057,2786,35,24258,0,0,2,1,3,0,0,0,10,12,12,1,0,3,0,0
8051,2714,37,25792,1,0,1,1,9,1,0,0,16,7,12,1,1,1,1,1
8004,2663,359,34271,0,0,0,0,6,0,0,0,11,15,20,0,6,12,1,0
8038,2578,38,18560,1,0,2,2,6,0,0,0,8,9,10,0,0,0,0,0
8052,2497,39,23221,2,0,1,1,6,2,0,0,15,6,7,1,0,0,0,1
8001,2423,415,11561,0,0,0,0,2,0,0,1,3,4,6,0,5,17,0,0
8047,2320,31,24096,1,0,2,1,5,1,0,0,11,7,19,0,0,1,0,0
8055,2187,32,22738,0,0,4,1,6,1,1,0,14,8,16,1,0,0,0,0
8053,2077,10,12422,0,0,1,1,2,1,0,0,6,3,7,0,0,0,0,0
8044,2052,23,12934,0,0,0,0,2,1,1,0,5,3,4,1,0,1,0,0
8037,1904,41,18518,0,0,1,1,3,0,0,1,10,15,15,0,0,2,1,0
8045,1767,63,13230,0,1,1,0,3,0,0,0,6,7,10,0,1,4,1,1
8005,1685,209,20273,1,0,0,0,4,0,0,0,9,17,14,0,2,13,0,0
8003,1657,124,23800,1,0,0,0,4,0,0,0,8,14,9,0,1,4,0,0
8002,1638,79,13212,0,0,0,0,2,1,0,0,5,5,14,0,2,7,0,1
8041,1158,8,7660,0,0,0,1,3,0,0,1,8,3,4,0,0,0,1,0
8064,433,10,4248,0,0,0,1,1,1,0,0,2,1,2,0,0,2,1,1
8143,18,2,4173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
