stichdatum;plz;anzahl;typ;ortbez18
2018-11-01;1195;452;h;Bursinel/Dully
2018-11-01;1168;375;w;Villars-sous-Yens
2018-11-01;1172;300;m;Bougy-Villars
2018-11-01;1172;219;h;Bougy-Villars
2018-11-01;1172;68;f;Bougy-Villars
2018-11-01;1164;417;m;Buchillon
2018-11-01;1175;95;f;Lavigny
2018-11-01;1170;655;f;Aubonne
2018-11-01;1166;659;h;Perroy
2018-11-01;1173;563;w;Féchy
2018-11-01;1173;559;m;Féchy
2018-11-01;1225;1196;f;Chêne-Bourg
2018-11-01;1226;6279;h;Thônex
2018-11-01;1566;718;h;St-Aubin FR/Les Friques
2018-11-01;1566;144;f;St-Aubin FR/Les Friques
2018-11-01;1562;1408;m;Corcelles-Payerne
2018-11-01;1562;1110;h;Corcelles-Payerne
2018-11-01;1563;607;m;Dompierre FR
2018-11-01;1544;98;f;Gletterens
2018-11-01;1544;473;h;Gletterens
2018-11-01;1564;331;f;Domdidier
2018-11-01;1545;319;w;Chevroux
2018-11-01;1552;114;h;Trey
2018-11-01;1738;152;m;Sangernboden
2018-11-01;1734;807;m;Tentlingen
2018-11-01;1741;554;h;Cottens FR
2018-11-01;1745;593;m;Lentigny
2018-11-01;1611;286;w;Le Crêt-p-Semsales
2018-11-01;1615;594;h;Bossonnens
2018-11-01;1615;851;w;Bossonnens
2018-11-01;1616;1638;m;Attalens
2018-11-01;1612;172;h;Ecoteaux
2018-11-01;1613;223;h;Maracon
2018-11-01;1695;83;f;Estavayer-Gibloux/Villarlod/Rueyres-St-Laurent/Villarsel-Gibloux
2018-11-01;1687;671;w;Estévenens/Vuisternens-Romont/La Magne
2018-11-01;1686;19;f;Grangettes-Romont/La Neirigue
2018-11-01;1699;59;f;Bouloz/Porsel/Pont (Veveyse)
2018-11-01;1690;971;w;Villaz-St-Pierre/Lussy FR
2018-11-01;1688;29;f;Sommentier/Lieffrens
2018-11-01;1692;188;h;Massonnens
2018-11-01;1692;290;w;Massonnens
2018-11-01;1700;6491;f;Fribourg
2018-11-01;1685;222;w;Villariaz
2018-11-01;1726;1374;m;Farvagny-le-Grand/Grenilles/Farvagny-le-Petit/Posat
2018-11-01;1726;966;h;Farvagny-le-Grand/Grenilles/Farvagny-le-Petit/Posat
2018-11-01;1721;111;f;Misery/Cormérod/Courtion/Cournillens
2018-11-01;1714;113;f;Heitenried
2018-11-01;1722;420;m;Bourguillon
2018-11-01;1718;693;w;Rechthalten
2018-11-01;1713;83;f;St. Antoni
2018-11-01;1717;714;w;St. Ursen
2018-11-01;1708;2;h;Fribourg
2018-11-01;1725;780;m;Posieux
2018-11-01;1607;1119;w;Palézieux/Palézieux-Village/Les Thioleyres/Les Tavernes
2018-11-01;1610;281;f;Oron-la-Ville/Châtillens/Vuibroye
2018-11-01;1585;561;h;Salavaux/Bellerive VD/Cotterd
2018-11-01;1585;98;f;Salavaux/Bellerive VD/Cotterd
2018-11-01;1587;265;m;Constantine/Montmagny
2018-11-01;1587;281;w;Constantine/Montmagny
2018-11-01;1568;444;m;Portalban
2018-11-01;1568;370;h;Portalban
2018-11-01;1586;371;m;Vallamand
2018-11-01;1586;322;w;Vallamand
2018-11-01;1754;307;f;Rosé/Avry-sur-Matran/Corjolens
2018-11-01;1756;383;h;Onnens FR/Lovens
2018-11-01;1762;1980;w;Givisiez
2018-11-01;1757;267;h;Noréaz
2018-11-01;2532;383;w;Magglingen/Macolin
2018-11-01;2523;88;f;Lignières
2018-11-01;2523;613;m;Lignières
2018-11-01;2537;121;m;Vauffelin
2018-11-01;2533;1274;w;Evilard
2018-11-01;2520;2163;m;La Neuveville
2018-11-01;2516;404;m;Lamboing
2018-11-01;2517;240;w;Diesse
2018-11-01;2517;199;h;Diesse
2018-11-01;2518;405;w;Nods
2018-11-01;2554;709;w;Meinisberg
2018-11-01;2542;1974;h;Pieterlen
2018-11-01;2545;287;f;Selzach
2018-11-01;2553;859;h;Safnern
2018-11-01;2545;1891;w;Selzach
2018-11-01;2572;1274;m;Sutz/Mörigen
2018-11-01;2556;489;h;Scheuren/Schwadernau
2018-11-01;2572;1365;w;Sutz/Mörigen
2018-11-01;2554;106;f;Meinisberg
2018-11-01;2555;2520;m;Brügg BE
2018-11-01;2557;1820;w;Studen BE
2018-11-01;2400;6389;m;Le Locle/Le Prévoux
2018-11-01;2353;154;m;Les Pommerats
2018-11-01;2353;142;w;Les Pommerats
2018-11-01;2416;142;f;Les Brenets
2018-11-01;2354;57;m;Goumois
2018-11-01;2512;191;m;Tüscherz-Alfermée
2018-11-01;2503;10102;w;Biel/Bienne
2018-11-01;2505;431;h;Biel/Bienne
2018-11-01;2514;88;f;Ligerz
2018-11-01;3362;124;f;Niederönz
2018-11-01;3362;989;w;Niederönz
2018-11-01;3363;440;h;Oberönz
2018-11-01;3538;497;w;Röthenbach i. E.
2018-11-01;3551;175;m;Oberfrittenbach
2018-11-01;3551;21;f;Oberfrittenbach
2018-11-01;3543;318;m;Emmenmatt
2018-11-01;3543;54;f;Emmenmatt
2018-11-01;3462;226;h;Weier im Emmental
2018-11-01;3462;275;w;Weier im Emmental
2018-11-01;3456;10;f;Trachselwald
2018-11-01;3456;81;w;Trachselwald
2018-11-01;3455;381;m;Grünen
2018-11-01;3532;1280;w;Zäziwil/Mirchel
2018-11-01;3513;272;h;Bigenthal
2018-11-01;3536;241;h;Aeschau
2018-11-01;3536;34;f;Aeschau
2018-11-01;3475;178;h;Riedtwil/Hermiswil
2018-11-01;3464;177;m;Schmidigen-Mühlew
2018-11-01;3464;202;w;Schmidigen-Mühlew
2018-11-01;3463;157;h;Häusernmoos
2018-11-01;3463;18;f;Häusernmoos
2018-11-01;3617;370;h;Fahrni b. Thun
2018-11-01;3617;460;w;Fahrni b. Thun
2018-11-01;3627;3022;h;Heimberg
2018-11-01;3785;33;f;Gsteig b. Gstaad
2018-11-01;3785;259;h;Gsteig b. Gstaad
2018-11-01;3783;36;f;Grund b. Gstaad
2018-11-01;3801;5;f;Jungfraujoch
2018-11-01;3801;2;m;Jungfraujoch
2018-11-01;3805;535;m;Goldswil
2018-11-01;3805;452;h;Goldswil
