,addresses,hospitality_companies,population,publibike,indoor_pools,Mobility_rental,outdoor_pools,ice_rinks,police_locations,skate_parks,elementary_schools,nurseries,football_fields,kindergartens,tennis_courts,bikeparks,community_centers,care_centers,beachvolleyball,Stadion,Kinderhaus,ZueriWC_nichtrollstuhlgaengig,Behindertenparkplatz,Alterswohnung,zips,Alterszentrum,Kirche,Beleuchtung,ZueriWC_rollstuhlgaengig,Park,KunstImStadtraum,Kindergarten,Brunnen,Sozialzentrum,Sporthalle,Picknickplatz,Jugendtreff
8050,4134,153.0,34412,6.0,1.0,18.0,0.0,1.0,2.0,0.0,8.0,30.0,2.0,19.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,36.0,1.0,1,1.0,2.0,2677,5.0,16.0,15.0,19.0,65.0,1.0,3.0,1.0,2.0
8049,3498,34.0,27853,0.0,1.0,10.0,0.0,0.0,1.0,0.0,7.0,13.0,0.0,15.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,12.0,2.0,1,0.0,2.0,2187,3.0,4.0,6.0,15.0,62.0,0.0,0.0,10.0,0.0
8048,3492,95.0,33499,5.0,1.0,11.0,1.0,0.0,1.0,1.0,9.0,16.0,3.0,20.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,32.0,3.0,1,0.0,4.0,2225,3.0,1.0,10.0,20.0,65.0,0.0,0.0,6.0,1.0
8032,3403,50.0,23866,4.0,1.0,13.0,0.0,0.0,1.0,0.0,5.0,19.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0,1,2.0,2.0,1692,5.0,4.0,20.0,7.0,64.0,0.0,0.0,3.0,0.0
8046,3016,31.0,29139,0.0,0.0,7.0,0.0,0.0,1.0,1.0,7.0,10.0,1.0,17.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,11.0,3.0,1,0.0,3.0,1669,1.0,7.0,4.0,17.0,49.0,0.0,2.0,3.0,1.0
8008,2929,110.0,23162,6.0,0.0,12.0,0.0,0.0,2.0,0.0,7.0,23.0,0.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,29.0,2.0,1,1.0,3.0,1841,5.0,13.0,34.0,8.0,64.0,0.0,1.0,1.0,0.0
8006,2894,69.0,22387,4.0,0.0,20.0,0.0,0.0,2.0,0.0,5.0,24.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,31.0,2.0,1,1.0,5.0,1673,4.0,6.0,22.0,8.0,70.0,0.0,0.0,5.0,2.0
8057,2786,35.0,24258,3.0,0.0,12.0,1.0,0.0,0.0,0.0,3.0,12.0,0.0,10.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,2.0,1,1.0,6.0,1787,4.0,3.0,19.0,10.0,51.0,0.0,0.0,3.0,0.0
8051,2714,37.0,25792,1.0,0.0,7.0,1.0,0.0,1.0,1.0,9.0,12.0,1.0,16.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,13.0,2.0,1,1.0,4.0,1520,3.0,4.0,4.0,16.0,55.0,0.0,2.0,5.0,1.0
8004,2663,359.0,34271,12.0,0.0,15.0,0.0,0.0,6.0,1.0,6.0,20.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,29.0,2.0,1,2.0,5.0,1932,7.0,6.0,19.0,11.0,58.0,0.0,1.0,0.0,3.0
8038,2578,38.0,18560,0.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,8.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,9.0,1.0,1,1.0,3.0,1496,3.0,5.0,20.0,8.0,60.0,0.0,0.0,0.0,1.0
8052,2497,39.0,23221,0.0,0.0,6.0,1.0,0.0,0.0,0.0,6.0,7.0,2.0,15.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,2.0,1,0.0,3.0,1326,1.0,3.0,3.0,15.0,32.0,0.0,1.0,6.0,0.0
8001,2423,415.0,11561,17.0,1.0,4.0,0.0,0.0,5.0,0.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,23.0,1.0,1,2.0,11.0,2967,11.0,14.0,66.0,3.0,148.0,1.0,0.0,0.0,0.0
8047,2320,31.0,24096,1.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,19.0,1.0,11.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,7.0,1.0,1,2.0,3.0,1053,2.0,2.0,6.0,11.0,29.0,1.0,1.0,2.0,0.0
8055,2187,32.0,22738,0.0,0.0,8.0,1.0,1.0,0.0,0.0,6.0,16.0,1.0,14.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,13.0,0.0,1,1.0,4.0,1187,2.0,2.0,3.0,14.0,50.0,0.0,1.0,5.0,0.0
8053,2077,10.0,12422,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1,0.0,3.0,931,1.0,1.0,10.0,6.0,39.0,0.0,0.0,12.0,0.0
8044,2052,23.0,12934,1.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,2,0.0,3.0,1256,1.0,2.0,9.0,5.0,46.0,0.0,0.0,12.0,0.0
8037,1904,41.0,18518,2.0,1.0,15.0,0.0,0.0,0.0,1.0,3.0,15.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11.0,2.0,1,1.0,4.0,1360,1.0,3.0,7.0,10.0,43.0,1.0,0.0,12.0,1.0
